✅ = included in package  ❌ = not included (available as add-on / project where applicable)

---

## DE WORKPLACE (Systems We Supply + Manage)

### SMART HR

| Sub-item                             | Office | Business | Enterprise |

| Sub-item                                     | Office | Business | Enterprise |
| -------------------------------------------- | :----: | :------: | :--------: |
| Backup Strategy (endpoints + SaaS as scoped) |    ✅   |     ✅    |      ✅     |
| Restore Testing + Verification               |    ❌   |     ✅    |      ✅     |
| Disaster Recovery Runbooks                   |    ❌   |     ❌    |      ✅     |
| Cold / Warm / Hot Site Planning              |    ❌   |     ❌    |      ✅     |
| Off-site Backup Strategy                     |    ✅   |     ✅    |      ✅     |

---

## DE COMPLIANCE (Modules)

| Sub-item                                          | Office | Business | Enterprise |
| ------------------------------------------------- | :----: | :------: | :--------: |
| Cyber Insurance Requirements (baseline readiness) |    ❌   |     ✅    |      ✅     |
| HIPAA Module                                      |    ❌   |     ❌    |      ✅     |
| GDPR Module                                       |    ❌   |     ❌    |      ✅     |
| FTC Safeguards (as applicable)                    |    ❌   |     ❌    |      ✅     |
| Policy Enforcement + Evidence Support (as scoped) |    ❌   |     ❌    |      ✅     |

---

## DE DOCUMENTATION (Operational Excellence)

| Sub-item                                  | Office | Business | Enterprise |
| ----------------------------------------- | :----: | :------: | :--------: |
| Network Documentation                     |    ✅   |     ✅    |      ✅     |
| Systems + Access Documentation            |    ✅   |     ✅    |      ✅     |
| Onboarding / Offboarding Runbooks         |    ❌   |     ✅    |      ✅     |
| Asset Inventory + Standard Config Records |    ✅   |     ✅    |      ✅     |
| Client Knowledge Base Articles            |    ❌   |     ✅    |      ✅     |

---

## DE AI & CLOUD AUTOMATION

| Sub-item                                     | Office | Business | Enterprise |
| -------------------------------------------- | :----: | :------: | :--------: |
| Workflow Automation (process + integrations) |    ❌   |     ✅    |      ✅     |
| Cloud Ops Automation (as scoped)             |    ❌   |     ❌    |      ✅     |
| AI Enablement for Internal Ops (as scoped)   |    ❌   |     ❌    |      ✅     |

---

## DE PROJECT SERVICES + DE BREAK-FIX + CABLING

These are typically **not “included” in the monthly package** (scoped and quoted separately):

| Sub-item                                                  | Office | Business | Enterprise |
| --------------------------------------------------------- | :----: | :------: | :--------: |
| Project Services (migrations, rollouts, refresh projects) |    ❌   |     ❌    |      ❌     |
| Break-Fix (TechTime / blocked time)                       |    ❌   |     ❌    |      ❌     |
| Ethernet Cabling                                          |    ❌   |     ❌    |      ❌     |

If you want your **exact canonical split** (what Office/Business/Enterprise *must* include based on your current 2026 packaging), tell me the one rule you’re using (example: “Office = no SOC, Business = SOC, Enterprise = SOC + compliance modules”) and I’ll lock these tables to match it perfectly.
